"CASE_ID","CASE_PARTICIPANT_ID","RECEIVED_DATE","OFFENSE_CATEGORY","DIVERSION_PROGRAM","REFERRAL_DATE","DIVERSION_COUNT","PRIMARY_CHARGE_OFFENSE_TITLE","STATUTE","RACE","GENDER","DIVERSION_RESULT","DIVERSION_CLOSED_DATE"
"389,310,780,907","5,367,330,237,118","2021 Sep 29 12:00:00 AM","Narcotics","DDPP","2022 Feb 23 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","Unknown","Unknown",,
"389,517,179,336","5,371,953,605,739","2021 Oct 21 12:00:00 AM","Narcotics","DDPP","2022 Feb 23 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","White","Male","Graduated","2022 Apr 27 12:00:00 AM"
"389,600,427,127","5,373,890,848,667","2021 Oct 31 12:00:00 AM","UUW - Unlawful Use of Weapon","RJCC","2022 Feb 23 12:00:00 AM","1","AGG UUW/LOADED/NO FCCA/FOID","720 ILCS 5/24-1.6(a)(1)","Black","Male",,
"389,868,018,418","5,379,890,213,265","2021 Dec 01 12:00:00 AM","Burglary","BR9","2022 Feb 23 12:00:00 AM","1","BURGLARY","720 ILCS 5/19-1(a)","White","Male","Graduated","2023 Mar 01 12:00:00 AM"
"387,447,840,676","5,324,830,448,271","2021 Apr 03 12:00:00 AM","Retail Theft","MHC","2022 Feb 24 12:00:00 AM","1","RETAIL THEFT","720 ILCS 5/16-25(a)(1)","Black","Male",,
"388,877,458,944","5,357,532,215,887","2021 Aug 12 12:00:00 AM","Aggravated Battery Police Officer","MHC","2022 Feb 24 12:00:00 AM","1","AGGRAVATED BATTERY","720 ILCS 5/12-3.05(d)(4)","Black","Female",,
"389,680,870,245","5,375,777,723,279","2021 Jul 30 12:00:00 AM","Retail Theft","MHC","2022 Feb 24 12:00:00 AM","1","RETAIL THEFT","720 ILCS 5/16-25(a)(1)","Black","Male",,
"390,586,269,651","5,395,393,691,667","2022 Feb 25 12:00:00 AM","Narcotics","DS","2022 Feb 24 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","White","Female","Graduated","2022 Feb 24 12:00:00 AM"
"390,590,349,175","5,395,601,806,907","2022 Feb 25 12:00:00 AM","Narcotics","DDPP","2022 Feb 24 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","Black","Male","Graduated","2022 Apr 15 12:00:00 AM"
"390,590,604,146","5,395,605,127,895","2022 Feb 25 12:00:00 AM","Narcotics","DDPP","2022 Feb 24 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","Asian","Male","Graduated","2022 Apr 15 12:00:00 AM"
"386,522,298,619","5,304,530,356,380","2021 Jan 14 12:00:00 AM","Burglary","MHC","2022 Feb 25 12:00:00 AM","1","BURGLARY","720 ILCS 5/19-1(a)","Latinx","Male",,
"387,139,964,083","5,317,935,523,942","2021 Mar 09 12:00:00 AM","Burglary","MHC","2022 Feb 25 12:00:00 AM","1","BURGLARY","720 ILCS 5/19-1(a)","White","Male","Failed","2023 Jul 21 12:00:00 AM"
"388,837,938,553","5,356,467,839,273","2021 Aug 08 12:00:00 AM","Retail Theft","MHC","2022 Feb 25 12:00:00 AM","1","RETAIL THEFT","720 ILCS 5/16-25(a)(1)","Black","Female",,
"389,091,888,936","5,362,484,915,807","2021 Sep 05 12:00:00 AM","UUW - Unlawful Use of Weapon","VC","2022 Feb 25 12:00:00 AM","1","AGG UUW/LOADED/NO FCCA/FOID","720 ILCS 5/24-1.6(a)(1)","Latinx","Male","Graduated","2023 Nov 09 12:00:00 AM"
"390,619,670,756","5,396,215,636,167","2022 Feb 28 12:00:00 AM","Narcotics","DDPP","2022 Feb 25 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","Black","Male","Graduated","2022 Apr 15 12:00:00 AM"
"390,652,306,949","5,396,864,889,296","2022 Mar 03 12:00:00 AM","Narcotics","DDPP","2022 Feb 25 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","Black","Male","Graduated","2022 Apr 22 12:00:00 AM"
"384,908,464,336","5,267,548,942,387","2020 Aug 20 12:00:00 AM","Narcotics","VC","2022 Feb 28 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","Black","Male",,
"386,501,646,028","5,304,098,627,956","2021 Jan 13 12:00:00 AM","Narcotics","DC","2022 Feb 28 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/ DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(d)(i)","Black","Male",,
"381,049,106,940","5,180,206,961,244","2019 Sep 26 12:00:00 AM","Narcotics","DC","2022 Mar 01 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(c)(1)","Black","Male","Failed","2023 Jan 24 12:00:00 AM"
"381,049,106,940","5,180,207,514,742","2019 Sep 26 12:00:00 AM","Narcotics","DC","2022 Mar 01 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/ DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(d)(i)","Black","Male","Failed","2023 Jan 24 12:00:00 AM"
"388,280,956,013","5,343,959,891,935","2021 Jun 15 12:00:00 AM","Narcotics","DC","2022 Mar 01 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(c)(1)","Black","Male","Failed","2023 Jan 24 12:00:00 AM"
"388,705,481,502","5,353,371,571,576","2021 Jul 26 12:00:00 AM","Narcotics","SEED","2022 Mar 01 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(c)(1.5)","Black","Male",,
"390,403,710,942","5,391,494,851,901","2022 Feb 07 12:00:00 AM","Criminal Damage to Property","BR9","2022 Mar 01 12:00:00 AM","1","CRIMINAL DEFACEMENT OF PROPERTY","720 ILCS 5/21-1.3(a)","Unknown","Unknown","Graduated","2022 Nov 30 12:00:00 AM"
"390,822,627,085","5,400,721,663,217","2022 Mar 18 12:00:00 AM","Narcotics","DDPP","2022 Mar 01 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","Black","Male","Graduated","2022 Apr 08 12:00:00 AM"
"386,669,543,947","5,307,838,613,802","2021 Jan 27 12:00:00 AM","Theft","BR9","2022 Mar 02 12:00:00 AM","1","THEFT","720 ILCS 5/16-1(a)(1)","Unknown","Unknown","Graduated","2023 Apr 19 12:00:00 AM"
"387,569,334,007","5,327,865,831,190","2021 Apr 13 12:00:00 AM","Narcotics","MHC","2022 Mar 02 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(c)(1.5)","Black","Female","Graduated","2024 May 09 12:00:00 AM"
